gender,age,value
Females,0,0.653750633857
Females,1,0.656963354698
Females,2,0.660176075538
Females,3,0.663388796378
Females,4,0.666601517218
Females,5,0.669814238058
Females,6,0.673026958898
Females,7,0.676239679739
Females,8,0.679452400579
Females,9,0.682665121419
Females,10,0.685877842259
Females,11,0.689090563099
Females,12,0.692303283939
Females,13,0.69551600478
Females,14,0.69872872562
Females,15,0.70194144646
Females,16,0.7051541673
Females,17,0.70836688814
Females,18,0.71157960898
Females,19,0.714792329821
Females,20,0.718005050661
Females,21,0.721217771501
Females,22,0.724430492341
Females,23,0.727643213181
Females,24,0.730855934021
Females,25,0.734068654862
Females,26,0.737281375702
Females,27,0.740494096542
Females,28,0.743706817382
Females,29,0.746919538222
Females,30,0.750132259063
Females,31,0.753344979903
Females,32,0.756557700743
Females,33,0.759770421583
Females,34,0.762983142423
Females,35,0.766195863263
Females,36,0.769408584104
Females,37,0.772621304944
Females,38,0.775834025784
Females,39,0.779046746624
Females,40,0.782259467464
Females,41,0.785472188304
Females,42,0.788684909145
Females,43,0.791897629985
Females,44,0.795110350825
Females,45,0.798323071665
Females,46,0.801535792505
Females,47,0.804748513345
Females,48,0.807961234186
Females,49,0.811173955026
Females,50,0.814386675866
Females,51,0.817599396706
Females,52,0.820812117546
Females,53,0.824024838386
Females,54,0.827237559227
Females,55,0.830450280067
Females,56,0.833663000907
Females,57,0.836875721747
Females,58,0.840088442587
Females,59,0.843301163427
Females,60,0.846513884268
Females,61,0.849726605108
Females,62,0.852939325948
Females,63,0.856152046788
Females,64,0.859364767628
Females,65,0.862577488468
Females,66,0.865790209309
Females,67,0.869002930149
Females,68,0.872215650989
Females,69,0.875428371829
Females,70,0.878641092669
Females,71,0.88185381351
Females,72,0.88506653435
Females,73,0.88827925519
Females,74,0.89149197603
Females,75,0.89470469687
Females,76,0.89791741771
Females,77,0.901130138551
Females,78,0.904342859391
Females,79,0.907555580231
Females,80,0.910768301071
Females,81,0.913981021911
Females,82,0.917193742751
Females,83,0.920406463592
Females,84,0.923619184432
Females,85,0.926831905272
Females,86,0.930044626112
Females,87,0.933257346952
Females,88,0.936470067792
Females,89,0.939682788633
Females,90,0.942895509473
Females,91,0.948605958525
Females,92,0.954316407578
Females,93,0.960026856631
Females,94,0.965737305684
Females,95,0.971447754736
Females,96,0.977158203789
Females,97,0.982868652842
Females,98,0.988579101895
Females,99,0.994289550947
Females,100,1.0
Females,101,1.0
Females,102,1.0
Females,103,1.0
Females,104,1.0
Females,105,1.0
Females,106,1.0
Females,107,1.0
Females,108,1.0
Females,109,1.0
Females,110,1.0
Females,111,1.0
Females,112,1.0
Females,113,1.0
Females,114,1.0
Females,115,1.0
Females,116,1.0
Females,117,1.0
Females,118,1.0
Females,119,1.0
Females,120,1.0
Females,121,1.0
Males,0,0.191969161576
Males,1,0.19983174133
Males,2,0.207694321083
Males,3,0.215556900837
Males,4,0.223419480591
Males,5,0.231282060345
Males,6,0.239144640098
Males,7,0.247007219852
Males,8,0.254869799606
Males,9,0.26273237936
Males,10,0.270594959114
Males,11,0.278457538867
Males,12,0.286320118621
Males,13,0.294182698375
Males,14,0.302045278129
Males,15,0.309907857882
Males,16,0.317770437636
Males,17,0.32563301739
Males,18,0.333495597144
Males,19,0.341358176898
Males,20,0.349220756651
Males,21,0.357083336405
Males,22,0.364945916159
Males,23,0.372808495913
Males,24,0.380671075666
Males,25,0.38853365542
Males,26,0.396396235174
Males,27,0.404258814928
Males,28,0.412121394682
Males,29,0.419983974435
Males,30,0.427846554189
Males,31,0.435709133943
Males,32,0.443571713697
Males,33,0.45143429345
Males,34,0.459296873204
Males,35,0.467159452958
Males,36,0.475022032712
Males,37,0.482884612466
Males,38,0.490747192219
Males,39,0.498609771973
Males,40,0.506472351727
Males,41,0.514334931481
Males,42,0.522197511234
Males,43,0.530060090988
Males,44,0.537922670742
Males,45,0.545785250496
Males,46,0.55364783025
Males,47,0.561510410003
Males,48,0.569372989757
Males,49,0.577235569511
Males,50,0.585098149265
Males,51,0.592960729018
Males,52,0.600823308772
Males,53,0.608685888526
Males,54,0.61654846828
Males,55,0.624411048033
Males,56,0.632273627787
Males,57,0.640136207541
Males,58,0.647998787295
Males,59,0.655861367049
Males,60,0.663723946802
Males,61,0.671586526556
Males,62,0.67944910631
Males,63,0.687311686064
Males,64,0.695174265817
Males,65,0.703036845571
Males,66,0.710899425325
Males,67,0.718762005079
Males,68,0.726624584833
Males,69,0.734487164586
Males,70,0.74234974434
Males,71,0.750212324094
Males,72,0.758074903848
Males,73,0.765937483601
Males,74,0.773800063355
Males,75,0.781662643109
Males,76,0.789525222863
Males,77,0.797387802617
Males,78,0.80525038237
Males,79,0.813112962124
Males,80,0.820975541878
Males,81,0.828838121632
Males,82,0.836700701385
Males,83,0.844563281139
Males,84,0.852425860893
Males,85,0.860288440647
Males,86,0.868151020401
Males,87,0.876013600154
Males,88,0.883876179908
Males,89,0.891738759662
Males,90,0.899601339416
Males,91,0.909641205474
Males,92,0.919681071533
Males,93,0.929720937591
Males,94,0.939760803649
Males,95,0.949800669708
Males,96,0.959840535766
Males,97,0.969880401825
Males,98,0.979920267883
Males,99,0.989960133942
Males,100,1.0
Males,101,1.0
Males,102,1.0
Males,103,1.0
Males,104,1.0
Males,105,1.0
Males,106,1.0
Males,107,1.0
Males,108,1.0
Males,109,1.0
Males,110,1.0
Males,111,1.0
Males,112,1.0
Males,113,1.0
Males,114,1.0
Males,115,1.0
Males,116,1.0
Males,117,1.0
Males,118,1.0
Males,119,1.0
Males,120,1.0
Males,121,1.0
