prodboomcd,projection_year,value
AEGON_SPAARBEURS_a,0,0
AEGON_SPAARBEURS_a,1,0
AEGON_SPAARBEURS_a,2,0
AEGON_SPAARBEURS_a,3,0
AEGON_SPAARBEURS_a,4,0
AEGON_SPAARBEURS_a,5,0
AEGON_SPAARBEURS_a,6,0
AEGON_SPAARBEURS_a,7,0
AEGON_SPAARBEURS_a,8,0
AEGON_SPAARBEURS_a,9,0
AEGON_SPAARBEURS_a,10,0
AEGON_SPAARBEURS_a,11,0
AEGON_SPAARBEURS_b,0,0
AEGON_SPAARBEURS_b,1,0
AEGON_SPAARBEURS_b,2,0
AEGON_SPAARBEURS_b,3,0
AEGON_SPAARBEURS_b,4,0
AEGON_SPAARBEURS_b,5,0
AEGON_SPAARBEURS_b,6,0
AEGON_SPAARBEURS_b,7,0
AEGON_SPAARBEURS_b,8,0
AEGON_SPAARBEURS_b,9,0
AEGON_SPAARBEURS_b,10,0
AEGON_SPAARBEURS_b,11,0
AFP_KBL_a,0,0
AFP_KBL_a,1,0
AFP_KBL_a,2,0
AFP_KBL_a,3,0
AFP_KBL_a,4,0
AFP_KBL_a,5,0
AFP_KBL_a,6,0
AFP_KBL_a,7,0
AFP_KBL_a,8,0
AFP_KBL_a,9,0
AFP_KBL_a,10,0
AFP_KBL_a,11,0
AFP_KBL_b,0,0
AFP_KBL_b,1,0
AFP_KBL_b,2,0
AFP_KBL_b,3,0
AFP_KBL_b,4,0
AFP_KBL_b,5,0
AFP_KBL_b,6,0
AFP_KBL_b,7,0
AFP_KBL_b,8,0
AFP_KBL_b,9,0
AFP_KBL_b,10,0
AFP_KBL_b,11,0
AFP_KBO_a,0,0
AFP_KBO_a,1,0
AFP_KBO_a,2,0
AFP_KBO_a,3,0
AFP_KBO_a,4,0
AFP_KBO_a,5,0
AFP_KBO_a,6,0
AFP_KBO_a,7,0
AFP_KBO_a,8,0
AFP_KBO_a,9,0
AFP_KBO_a,10,0
AFP_KBO_a,11,0
AFP_KBO_b,0,0
AFP_KBO_b,1,0
AFP_KBO_b,2,0
AFP_KBO_b,3,0
AFP_KBO_b,4,0
AFP_KBO_b,5,0
AFP_KBO_b,6,0
AFP_KBO_b,7,0
AFP_KBO_b,8,0
AFP_KBO_b,9,0
AFP_KBO_b,10,0
AFP_KBO_b,11,0
AFP_LIJF_a,0,0
AFP_LIJF_a,1,0
AFP_LIJF_a,2,0
AFP_LIJF_a,3,0
AFP_LIJF_a,4,0
AFP_LIJF_a,5,0
AFP_LIJF_a,6,0
AFP_LIJF_a,7,0
AFP_LIJF_a,8,0
AFP_LIJF_a,9,0
AFP_LIJF_a,10,0
AFP_LIJF_a,11,0
AFP_LIJF_b,0,0
AFP_LIJF_b,1,0
AFP_LIJF_b,2,0
AFP_LIJF_b,3,0
AFP_LIJF_b,4,0
AFP_LIJF_b,5,0
AFP_LIJF_b,6,0
AFP_LIJF_b,7,0
AFP_LIJF_b,8,0
AFP_LIJF_b,9,0
AFP_LIJF_b,10,0
AFP_LIJF_b,11,0
ALH_KBL_a,0,0
ALH_KBL_a,1,0
ALH_KBL_a,2,0
ALH_KBL_a,3,0
ALH_KBL_a,4,0
ALH_KBL_a,5,0
ALH_KBL_a,6,0
ALH_KBL_a,7,0
ALH_KBL_a,8,0
ALH_KBL_a,9,0
ALH_KBL_a,10,0
ALH_KBL_a,11,0
ALH_KBL_b,0,0
ALH_KBL_b,1,0
ALH_KBL_b,2,0
ALH_KBL_b,3,0
ALH_KBL_b,4,0
ALH_KBL_b,5,0
ALH_KBL_b,6,0
ALH_KBL_b,7,0
ALH_KBL_b,8,0
ALH_KBL_b,9,0
ALH_KBL_b,10,0
ALH_KBL_b,11,0
ALH_KBO_a,0,0
ALH_KBO_a,1,0
ALH_KBO_a,2,0
ALH_KBO_a,3,0
ALH_KBO_a,4,0
ALH_KBO_a,5,0
ALH_KBO_a,6,0
ALH_KBO_a,7,0
ALH_KBO_a,8,0
ALH_KBO_a,9,0
ALH_KBO_a,10,0
ALH_KBO_a,11,0
ALH_KBO_b,0,0
ALH_KBO_b,1,0
ALH_KBO_b,2,0
ALH_KBO_b,3,0
ALH_KBO_b,4,0
ALH_KBO_b,5,0
ALH_KBO_b,6,0
ALH_KBO_b,7,0
ALH_KBO_b,8,0
ALH_KBO_b,9,0
ALH_KBO_b,10,0
ALH_KBO_b,11,0
AORV_Type1_KBL_a,0,0
AORV_Type1_KBL_a,1,0
AORV_Type1_KBL_a,2,0
AORV_Type1_KBL_a,3,0
AORV_Type1_KBL_a,4,0
AORV_Type1_KBL_a,5,0
AORV_Type1_KBL_a,6,0
AORV_Type1_KBL_a,7,0
AORV_Type1_KBL_a,8,0
AORV_Type1_KBL_a,9,0
AORV_Type1_KBL_a,10,0
AORV_Type1_KBL_a,11,0
AORV_Type1_KBL_b,0,0
AORV_Type1_KBL_b,1,0
AORV_Type1_KBL_b,2,0
AORV_Type1_KBL_b,3,0
AORV_Type1_KBL_b,4,0
AORV_Type1_KBL_b,5,0
AORV_Type1_KBL_b,6,0
AORV_Type1_KBL_b,7,0
AORV_Type1_KBL_b,8,0
AORV_Type1_KBL_b,9,0
AORV_Type1_KBL_b,10,0
AORV_Type1_KBL_b,11,0
AORV_Type1_KBO_a,0,0
AORV_Type1_KBO_a,1,0
AORV_Type1_KBO_a,2,0
AORV_Type1_KBO_a,3,0
AORV_Type1_KBO_a,4,0
AORV_Type1_KBO_a,5,0
AORV_Type1_KBO_a,6,0
AORV_Type1_KBO_a,7,0
AORV_Type1_KBO_a,8,0
AORV_Type1_KBO_a,9,0
AORV_Type1_KBO_a,10,0
AORV_Type1_KBO_a,11,0
AORV_Type1_KBO_b,0,0
AORV_Type1_KBO_b,1,0
AORV_Type1_KBO_b,2,0
AORV_Type1_KBO_b,3,0
AORV_Type1_KBO_b,4,0
AORV_Type1_KBO_b,5,0
AORV_Type1_KBO_b,6,0
AORV_Type1_KBO_b,7,0
AORV_Type1_KBO_b,8,0
AORV_Type1_KBO_b,9,0
AORV_Type1_KBO_b,10,0
AORV_Type1_KBO_b,11,0
AORV_Type1_LIJF_a,0,0
AORV_Type1_LIJF_a,1,0
AORV_Type1_LIJF_a,2,0
AORV_Type1_LIJF_a,3,0
AORV_Type1_LIJF_a,4,0
AORV_Type1_LIJF_a,5,0
AORV_Type1_LIJF_a,6,0
AORV_Type1_LIJF_a,7,0
AORV_Type1_LIJF_a,8,0
AORV_Type1_LIJF_a,9,0
AORV_Type1_LIJF_a,10,0
AORV_Type1_LIJF_a,11,0
AORV_Type1_LIJF_b,0,0
AORV_Type1_LIJF_b,1,0
AORV_Type1_LIJF_b,2,0
AORV_Type1_LIJF_b,3,0
AORV_Type1_LIJF_b,4,0
AORV_Type1_LIJF_b,5,0
AORV_Type1_LIJF_b,6,0
AORV_Type1_LIJF_b,7,0
AORV_Type1_LIJF_b,8,0
AORV_Type1_LIJF_b,9,0
AORV_Type1_LIJF_b,10,0
AORV_Type1_LIJF_b,11,0
AORV_Type2_KBL_a,0,0
AORV_Type2_KBL_a,1,0
AORV_Type2_KBL_a,2,0
AORV_Type2_KBL_a,3,0
AORV_Type2_KBL_a,4,0
AORV_Type2_KBL_a,5,0
AORV_Type2_KBL_a,6,0
AORV_Type2_KBL_a,7,0
AORV_Type2_KBL_a,8,0
AORV_Type2_KBL_a,9,0
AORV_Type2_KBL_a,10,0
AORV_Type2_KBL_a,11,0
AORV_Type2_KBL_b,0,0
AORV_Type2_KBL_b,1,0
AORV_Type2_KBL_b,2,0
AORV_Type2_KBL_b,3,0
AORV_Type2_KBL_b,4,0
AORV_Type2_KBL_b,5,0
AORV_Type2_KBL_b,6,0
AORV_Type2_KBL_b,7,0
AORV_Type2_KBL_b,8,0
AORV_Type2_KBL_b,9,0
AORV_Type2_KBL_b,10,0
AORV_Type2_KBL_b,11,0
AORV_Type2_KBO_a,0,0
AORV_Type2_KBO_a,1,0
AORV_Type2_KBO_a,2,0
AORV_Type2_KBO_a,3,0
AORV_Type2_KBO_a,4,0
AORV_Type2_KBO_a,5,0
AORV_Type2_KBO_a,6,0
AORV_Type2_KBO_a,7,0
AORV_Type2_KBO_a,8,0
AORV_Type2_KBO_a,9,0
AORV_Type2_KBO_a,10,0
AORV_Type2_KBO_a,11,0
AORV_Type2_KBO_b,0,0
AORV_Type2_KBO_b,1,0
AORV_Type2_KBO_b,2,0
AORV_Type2_KBO_b,3,0
AORV_Type2_KBO_b,4,0
AORV_Type2_KBO_b,5,0
AORV_Type2_KBO_b,6,0
AORV_Type2_KBO_b,7,0
AORV_Type2_KBO_b,8,0
AORV_Type2_KBO_b,9,0
AORV_Type2_KBO_b,10,0
AORV_Type2_KBO_b,11,0
AORV_Type2_LIJF_a,0,0
AORV_Type2_LIJF_a,1,0
AORV_Type2_LIJF_a,2,0
AORV_Type2_LIJF_a,3,0
AORV_Type2_LIJF_a,4,0
AORV_Type2_LIJF_a,5,0
AORV_Type2_LIJF_a,6,0
AORV_Type2_LIJF_a,7,0
AORV_Type2_LIJF_a,8,0
AORV_Type2_LIJF_a,9,0
AORV_Type2_LIJF_a,10,0
AORV_Type2_LIJF_a,11,0
AORV_Type2_LIJF_b,0,0
AORV_Type2_LIJF_b,1,0
AORV_Type2_LIJF_b,2,0
AORV_Type2_LIJF_b,3,0
AORV_Type2_LIJF_b,4,0
AORV_Type2_LIJF_b,5,0
AORV_Type2_LIJF_b,6,0
AORV_Type2_LIJF_b,7,0
AORV_Type2_LIJF_b,8,0
AORV_Type2_LIJF_b,9,0
AORV_Type2_LIJF_b,10,0
AORV_Type2_LIJF_b,11,0
AORV_Type3_KBL_a,0,0
AORV_Type3_KBL_a,1,0
AORV_Type3_KBL_a,2,0
AORV_Type3_KBL_a,3,0
AORV_Type3_KBL_a,4,0
AORV_Type3_KBL_a,5,0
AORV_Type3_KBL_a,6,0
AORV_Type3_KBL_a,7,0
AORV_Type3_KBL_a,8,0
AORV_Type3_KBL_a,9,0
AORV_Type3_KBL_a,10,0
AORV_Type3_KBL_a,11,0
AORV_Type3_KBL_b,0,0
AORV_Type3_KBL_b,1,0
AORV_Type3_KBL_b,2,0
AORV_Type3_KBL_b,3,0
AORV_Type3_KBL_b,4,0
AORV_Type3_KBL_b,5,0
AORV_Type3_KBL_b,6,0
AORV_Type3_KBL_b,7,0
AORV_Type3_KBL_b,8,0
AORV_Type3_KBL_b,9,0
AORV_Type3_KBL_b,10,0
AORV_Type3_KBL_b,11,0
AORV_Type3_KBO_a,0,0
AORV_Type3_KBO_a,1,0
AORV_Type3_KBO_a,2,0
AORV_Type3_KBO_a,3,0
AORV_Type3_KBO_a,4,0
AORV_Type3_KBO_a,5,0
AORV_Type3_KBO_a,6,0
AORV_Type3_KBO_a,7,0
AORV_Type3_KBO_a,8,0
AORV_Type3_KBO_a,9,0
AORV_Type3_KBO_a,10,0
AORV_Type3_KBO_a,11,0
AORV_Type3_KBO_b,0,0
AORV_Type3_KBO_b,1,0
AORV_Type3_KBO_b,2,0
AORV_Type3_KBO_b,3,0
AORV_Type3_KBO_b,4,0
AORV_Type3_KBO_b,5,0
AORV_Type3_KBO_b,6,0
AORV_Type3_KBO_b,7,0
AORV_Type3_KBO_b,8,0
AORV_Type3_KBO_b,9,0
AORV_Type3_KBO_b,10,0
AORV_Type3_KBO_b,11,0
AORV_Type3_LIJF_a,0,0
AORV_Type3_LIJF_a,1,0
AORV_Type3_LIJF_a,2,0
AORV_Type3_LIJF_a,3,0
AORV_Type3_LIJF_a,4,0
AORV_Type3_LIJF_a,5,0
AORV_Type3_LIJF_a,6,0
AORV_Type3_LIJF_a,7,0
AORV_Type3_LIJF_a,8,0
AORV_Type3_LIJF_a,9,0
AORV_Type3_LIJF_a,10,0
AORV_Type3_LIJF_a,11,0
AORV_Type3_LIJF_b,0,0
AORV_Type3_LIJF_b,1,0
AORV_Type3_LIJF_b,2,0
AORV_Type3_LIJF_b,3,0
AORV_Type3_LIJF_b,4,0
AORV_Type3_LIJF_b,5,0
AORV_Type3_LIJF_b,6,0
AORV_Type3_LIJF_b,7,0
AORV_Type3_LIJF_b,8,0
AORV_Type3_LIJF_b,9,0
AORV_Type3_LIJF_b,10,0
AORV_Type3_LIJF_b,11,0
AORV_Type4_KBL_a,0,0
AORV_Type4_KBL_a,1,0
AORV_Type4_KBL_a,2,0
AORV_Type4_KBL_a,3,0
AORV_Type4_KBL_a,4,0
AORV_Type4_KBL_a,5,0
AORV_Type4_KBL_a,6,0
AORV_Type4_KBL_a,7,0
AORV_Type4_KBL_a,8,0
AORV_Type4_KBL_a,9,0
AORV_Type4_KBL_a,10,0
AORV_Type4_KBL_a,11,0
AORV_Type4_KBL_b,0,0
AORV_Type4_KBL_b,1,0
AORV_Type4_KBL_b,2,0
AORV_Type4_KBL_b,3,0
AORV_Type4_KBL_b,4,0
AORV_Type4_KBL_b,5,0
AORV_Type4_KBL_b,6,0
AORV_Type4_KBL_b,7,0
AORV_Type4_KBL_b,8,0
AORV_Type4_KBL_b,9,0
AORV_Type4_KBL_b,10,0
AORV_Type4_KBL_b,11,0
AORV_Type4_KBO_a,0,0
AORV_Type4_KBO_a,1,0
AORV_Type4_KBO_a,2,0
AORV_Type4_KBO_a,3,0
AORV_Type4_KBO_a,4,0
AORV_Type4_KBO_a,5,0
AORV_Type4_KBO_a,6,0
AORV_Type4_KBO_a,7,0
AORV_Type4_KBO_a,8,0
AORV_Type4_KBO_a,9,0
AORV_Type4_KBO_a,10,0
AORV_Type4_KBO_a,11,0
AORV_Type4_KBO_b,0,0
AORV_Type4_KBO_b,1,0
AORV_Type4_KBO_b,2,0
AORV_Type4_KBO_b,3,0
AORV_Type4_KBO_b,4,0
AORV_Type4_KBO_b,5,0
AORV_Type4_KBO_b,6,0
AORV_Type4_KBO_b,7,0
AORV_Type4_KBO_b,8,0
AORV_Type4_KBO_b,9,0
AORV_Type4_KBO_b,10,0
AORV_Type4_KBO_b,11,0
AORV_Type4_LIJF_a,0,0
AORV_Type4_LIJF_a,1,0
AORV_Type4_LIJF_a,2,0
AORV_Type4_LIJF_a,3,0
AORV_Type4_LIJF_a,4,0
AORV_Type4_LIJF_a,5,0
AORV_Type4_LIJF_a,6,0
AORV_Type4_LIJF_a,7,0
AORV_Type4_LIJF_a,8,0
AORV_Type4_LIJF_a,9,0
AORV_Type4_LIJF_a,10,0
AORV_Type4_LIJF_a,11,0
AORV_Type4_LIJF_b,0,0
AORV_Type4_LIJF_b,1,0
AORV_Type4_LIJF_b,2,0
AORV_Type4_LIJF_b,3,0
AORV_Type4_LIJF_b,4,0
AORV_Type4_LIJF_b,5,0
AORV_Type4_LIJF_b,6,0
AORV_Type4_LIJF_b,7,0
AORV_Type4_LIJF_b,8,0
AORV_Type4_LIJF_b,9,0
AORV_Type4_LIJF_b,10,0
AORV_Type4_LIJF_b,11,0
ASH_KBL_a,0,0
ASH_KBL_a,1,0
ASH_KBL_a,2,0
ASH_KBL_a,3,0
ASH_KBL_a,4,0
ASH_KBL_a,5,0
ASH_KBL_a,6,0
ASH_KBL_a,7,0
ASH_KBL_a,8,0
ASH_KBL_a,9,0
ASH_KBL_a,10,0
ASH_KBL_a,11,0
ASH_KBL_b,0,0
ASH_KBL_b,1,0
ASH_KBL_b,2,0
ASH_KBL_b,3,0
ASH_KBL_b,4,0
ASH_KBL_b,5,0
ASH_KBL_b,6,0
ASH_KBL_b,7,0
ASH_KBL_b,8,0
ASH_KBL_b,9,0
ASH_KBL_b,10,0
ASH_KBL_b,11,0
ASH_KBO_a,0,0
ASH_KBO_a,1,0
ASH_KBO_a,2,0
ASH_KBO_a,3,0
ASH_KBO_a,4,0
ASH_KBO_a,5,0
ASH_KBO_a,6,0
ASH_KBO_a,7,0
ASH_KBO_a,8,0
ASH_KBO_a,9,0
ASH_KBO_a,10,0
ASH_KBO_a,11,0
ASH_KBO_b,0,0
ASH_KBO_b,1,0
ASH_KBO_b,2,0
ASH_KBO_b,3,0
ASH_KBO_b,4,0
ASH_KBO_b,5,0
ASH_KBO_b,6,0
ASH_KBO_b,7,0
ASH_KBO_b,8,0
ASH_KBO_b,9,0
ASH_KBO_b,10,0
ASH_KBO_b,11,0
ASH_LIJF_a,0,0
ASH_LIJF_a,1,0
ASH_LIJF_a,2,0
ASH_LIJF_a,3,0
ASH_LIJF_a,4,0
ASH_LIJF_a,5,0
ASH_LIJF_a,6,0
ASH_LIJF_a,7,0
ASH_LIJF_a,8,0
ASH_LIJF_a,9,0
ASH_LIJF_a,10,0
ASH_LIJF_a,11,0
ASH_LIJF_b,0,0
ASH_LIJF_b,1,0
ASH_LIJF_b,2,0
ASH_LIJF_b,3,0
ASH_LIJF_b,4,0
ASH_LIJF_b,5,0
ASH_LIJF_b,6,0
ASH_LIJF_b,7,0
ASH_LIJF_b,8,0
ASH_LIJF_b,9,0
ASH_LIJF_b,10,0
ASH_LIJF_b,11,0
AVN_KBL_a,0,0
AVN_KBL_a,1,0
AVN_KBL_a,2,0
AVN_KBL_a,3,0
AVN_KBL_a,4,0
AVN_KBL_a,5,0
AVN_KBL_a,6,0
AVN_KBL_a,7,0
AVN_KBL_a,8,0
AVN_KBL_a,9,0
AVN_KBL_a,10,0
AVN_KBL_a,11,0
AVN_KBL_b,0,0
AVN_KBL_b,1,0
AVN_KBL_b,2,0
AVN_KBL_b,3,0
AVN_KBL_b,4,0
AVN_KBL_b,5,0
AVN_KBL_b,6,0
AVN_KBL_b,7,0
AVN_KBL_b,8,0
AVN_KBL_b,9,0
AVN_KBL_b,10,0
AVN_KBL_b,11,0
AVN_KBO_a,0,0
AVN_KBO_a,1,0
AVN_KBO_a,2,0
AVN_KBO_a,3,0
AVN_KBO_a,4,0
AVN_KBO_a,5,0
AVN_KBO_a,6,0
AVN_KBO_a,7,0
AVN_KBO_a,8,0
AVN_KBO_a,9,0
AVN_KBO_a,10,0
AVN_KBO_a,11,0
AVN_KBO_b,0,0
AVN_KBO_b,1,0
AVN_KBO_b,2,0
AVN_KBO_b,3,0
AVN_KBO_b,4,0
AVN_KBO_b,5,0
AVN_KBO_b,6,0
AVN_KBO_b,7,0
AVN_KBO_b,8,0
AVN_KBO_b,9,0
AVN_KBO_b,10,0
AVN_KBO_b,11,0
BUDGETFOND_a,0,0
BUDGETFOND_a,1,0
BUDGETFOND_a,2,0
BUDGETFOND_a,3,0
BUDGETFOND_a,4,0
BUDGETFOND_a,5,0
BUDGETFOND_a,6,0
BUDGETFOND_a,7,0
BUDGETFOND_a,8,0
BUDGETFOND_a,9,0
BUDGETFOND_a,10,0
BUDGETFOND_a,11,0
BUDGETFOND_b,0,0
BUDGETFOND_b,1,0
BUDGETFOND_b,2,0
BUDGETFOND_b,3,0
BUDGETFOND_b,4,0
BUDGETFOND_b,5,0
BUDGETFOND_b,6,0
BUDGETFOND_b,7,0
BUDGETFOND_b,8,0
BUDGETFOND_b,9,0
BUDGETFOND_b,10,0
BUDGETFOND_b,11,0
